Manufacturers
Terasawa Gangu Seisokusho
TET
T.K.
TK Toys / Teruhisa Kitahara
Tohko-Toy Co.
Tohnan
Tomiyama / Tomy
"Tomiyama, E.T. Co. / Eiichiro Tomiyama Co."
Tomuro Press Seisakusho
Toy Hero
Toyo Plaything
Toyodo & Co.
Toplay (T.P.S.) Ltd.
Tsujimoto / Tsujimoto Shoji
"Tsukuda Co., Ltd. / Tsukudaya Co., Ltd."
TT
"TTT, Tin Tom Toys"
Ueno
Usagiya Toys Co. Ltd.
WACO
Wakasuto Boeki
Wakimura
Yachio / Yachio Seisakusho
Yamada / H. Yamada
Yamaichi Shioji
Yamamoto / Yamamoto Kinzoku Seisakusho
Yamato Toys
Yanoman Shoten / Y.M. Brand
"Yoneya Toys Co., Ltd. / S.Y. Toys Co. Ltd."
"Yonezawa Toys Co., Ltd."
Yoshi / Yoshii / Yoshi Shioji
Yoshida Seisakusho
"Yoshino Kogyo / Yoshino Industrial Co., Ltd."
Yoshiya / Kobe Yoko Ltd.
1000toys [5]
Barrel of Monkeys
Baseball (9)
Basketball (10)
Baskin-Robbins
21st Century Toys [7]
3A [1]
3D Retro [1]
4Kidz [1]
52Toys [3]
9 to 5 Warriors [1]
AB Toys [1]
Acamas Toys [6]
Accoutrements [3]
Ace Novelty [7]
Action GT [1]
Action Products [1]
Action Toys [3]
Activision [7]
Agglo [13]
Aggronautix [1]
AHI [14]
Airgam [1]
All Caps Comics [1]
All Entertainment [2]
All Hands [1]
Alpha Centauri Expeditions [1]
Alpha Group [2]
Alpha Toycom [1]
Amercep [7]
American Character [1]
Amok Time [3]
Amscan [1]
AmToy [4]
AnJon [1]
Antartic Press [1]
Antex [1]
Anthem [1]
Applause [35]
Apple [1]
Appleworks [1]
AR Toy [1]
Arcady [1]
Arco [10]
Arkin A-OK Products [2]
Arrow [1]
Art Asylum [12]
Art of War [1]
Art Spirits [1]
Artfx - Squaresoft [6]
Asmus Toys [1]
Aspen [1]
Atlantic [1]
Auldey [1]
Avatar Comics [2]
Aviva [1]
Awesome Toys [1]
Axlon [2]
AxyToys [1]
B.L. [1]
BanBao [1]
Bandai [143]
Banpresto [7]
Banyj [2]
Baravelli [1]
Basic Fun [8]
Baskin-Robbins [1]
BD&A [1]
Beast Kingdom [10]
Bellfine [1]
Berchet [1]
Berserker Studios [1]
Best Card Company [1]
Best-Lock [2]
Bestoys [1]
Beverly Hills Teddy Bear [2]
Beyond-Action Figures [1]
BibleQuest [1]
Bif Bang Pow! [13]
Big Bocca [1]
Big Boy [1]
Big Fish Toys [2]
Big Time Toys [2]
BigBoysToys [1]
Bikin [8]
Bleacher Creatures [1]
Blip Toys [1]
Blitzway [1]
Blizzard [4]
Blue Bird [2]
Blue Box Toys [10]
BMA Toys [1]
Boley [2]
Bonebad [1]
Bonkers Toy Co [1]
Boss Fight Studio [12]
Breyer [1]
Bridge Direct [8]
Britains [2]
Broccoli [1]
Buddy L [5]
Bullyland [2]
Burger King [8]
Cadaco [1]
CALRAB [1]
Camy [1]
CAP Toys [3]
Capcom [3]
Carlin Playthings [2]
Cast-a-way Toys [3]
CBN [1]
Cecil Coleman [1]
Ceji [2]
Ceppi Ratti [1]
Ceppiratti [1]
CGL [1]
Chap Mei [42]
Character Options [10]
Chariot Victor Publishing [1]
Chaseline [1]
Cheekums [1]
Chemtoy [7]
Cheng Ching Toys [1]
Chicken Fried Toys [1]
Child Dimension [4]
Chitech [1]
Chronicle Books [1]
Chuck E. Cheese's [1]
CID [1]
Cititoy [2]
Classic Plastic [1]
Click N' Play [1]
Cliffhanger [1]
CMON [1]
Cobi [2]
Coko [1]
Coleco [10]
Colorforms [1]
Colvin Collectables [1]
Comansi [1]
Comicave [2]
Comics Spain [3]
Commonwealth [1]
Concept [2]
Concepts Plus [1]
COO Model [1]
Corgi [5]
Corinthian [5]
Cost Cutters [1]
Cragstan [2]
Creata [12]
Creation Entertainment [1]
Creative Beast Studio [1]
Creative Comics and Collectibles [1]
Creative Outdoor Products [1]
Creative Ventures [1]
Creatureplica [1]
Croner [1]
Crowd Inc [1]
Cryptozoic Entertainment [2]
CTJ Christhomas Corp [1]
Culturefly [1]
Cup-Co [1]
D-Boy Inc [2]
Dade Toys [1]
Dairy Queen [2]
Dakin [7]
Dapol [1]
Dark Carnival [1]
Dark Horse [1]
Dark Horse Comics [16]
Days Inn [1]
DC Collectibles [16]
DC Direct [81]
DC Unlimited [7]
DeConte [1]
Denys Fisher [1]
Determined Productions [1]
Diamond [6]
Diamond Select [113]
Diamond Toymakers [2]
Diener Industries [3]
Dimensions [2]
Diramix [1]
Direct Connect [2]
Disney [39]
DMI Toys [1]
Dog Soldiers [1]
Dolly Dolls [1]
Domino's [1]
Dragon Models [4]
Dragon Toys [2]
Dragon-i Toys [1]
Drastic Plastic [1]
DreamEX [1]
DreamWorks [4]
DSI [7]
Durham [7]
Dusty Trail Toys [1]
E Toys [10]
Eaglemoss [2]
East West Distributing [1]
Eboneen [1]
Edocar [1]
Educational Toys [1]
Effanbee [1]
EL [1]
Eldon [1]
Elite Creations [1]
EMCE Toys [1]
Empire Toys [7]
Emson [1]
Endless Horizons [1]
Enesco [1]
Enterbay [2]
Entertech [1]
Epoch [7]
Equity [10]
Erector [1]
ERTL [46]
ES Toys [1]
Esso [1]
Estrela [2]
Eugene Toys [1]
Euro Play [1]
Excel [3]
Excite [7]
Exclusive Premiere [35]
Exin [1]
Extreme Toys [1]
F4F [1]
Fabianplastica [1]
Fabrique Par [1]
Factory Entertainment [2]
Fame Master [1]
Family Values [1]
Famosa [1]
Fanatiks [1]
Farmen [1]
Farrah [1]
FEVA [1]
Fewture [5]
Figures Toy Company [26]
First Gokin [1]
Fishel [2]
Fisher-Price [40]
Five1nine [1]
Flame Toys [2]
Flapjack Toys [1]
Flatt World [1]
Fleetwood [13]
Flying Colors [1]
Foco [5]
Forever Clever [2]
Forever Collectibles [1]
Forever Fun [4]
Formative International [2]
Four Horsemen [6]
Four Star [4]
Fourth New-Line Heron Venture [1]
Fresh Monkey Fiction [3]
Fright Rags [2]
FT Champs [1]
Full Moon [4]
Fun 4 All [10]
Fun Farm [1]
Fun House [2]
Fun Tech [1]
Fun World [2]
Funko [868]
Funrise [7]
Funstuf [2]
Fury Toys [3]
Fusion Toys [1]
FYE [1]
Gabriel [5]
Galgo [1]
Galoob [45]
Ganesh Imports [1]
Gatabox [1]
Gegu [1]
Geico [1]
Gemmy [1]
Gentle Giant [8]
Geoffrey [2]
Ghibli [1]
Ghostrabbit [1]
Gigo Toys [1]
Gilbert [4]
Giochi Preziosi [4]
Glasslite [22]
GLJ Toys [3]
Globo [2]
GM Toys [1]
Goldberger [4]
Goldlok [2]
Good Smile Company [4]
Good Stuff [1]
Gordy Toy [11]
Gracelyn Toys [1]
Grand Toys [1]
Graphitti Designs [3]
Greenbrier [8]
Greenlight [1]
Griffon Enterprises [1]
Grip Toy [1]
Gulliver [2]
H. Y. [1]
Hales [1]
Hao [1]
Hap-P-Kid [1]
Hape [1]
Happiness Express [1]
Happy Toys [1]
Happy Well [1]
Happy Worker [1]
Harmony Gold [1]
Harvinger Studios [1]
Hasbro [343]
Hasegawa [1]
Hawk [1]
Headstart [1]
Helm [2]
Hero Collector [1]
Heroes in Action [2]
Hershey's [1]
HG Toys [6]
Hinstar [13]
Hip Yick [1]
Hiya Toys [14]
Hollywood Collectibles [1]
Homieshop [3]
Hornby [1]
Horsman Dolls [1]
Hot Properties [1]
Hot Toys [21]
Hourtoy [1]
Huck Doll [1]
Huckleberry Toys [3]
Hyperchild [1]
Icon Heroes [2]
Ideal [20]
IF Labs [2]
Ignite [2]
Illco [2]
Image Comics [1]
Imaginary Limitz [1]
Imaginations [1]
IMC Toys [1]
Imperial [20]
Imports Dragon [1]
Impulse [1]
In the Past Toys [1]
In Time [1]
Incendium [15]
Industria Argentina [1]
Infinite Concepts [1]
Innovation Point [1]
Integrity Toys [1]
Intoyz [1]
Invincible Toys [1]
Irwin Toys [11]
ISH [1]
J.A.R. Sales [1]
Ja-Ru [10]
Jack in the Box [1]
Jada Toys [20]
Jailbreak Collective [2]
Jak Pak [2]
Jakks Pacific [95]
Jasman [3]
Jay @ Play [1]
Jazwares [40]
JDK [2]
Jesco [9]
Jimmy Toys [1]
Jinx [2]
Jollibee [1]
Journey ITB [1]
Joustra [1]
Joy Toy [2]
Joyride Studios [7]
JoyToy [2]
JPI [1]
JPW [1]
Jump Higher Ingredients [1]
Jun Planning [3]
Just for Kids [1]
Just Play [18]
Just Toys [27]
Justen Products [1]
K.F. Designs [1]
K'nex [1]
Kagran [1]
Kaiyodo [11]
Kelian [1]
Kellogg's [2]
Kenner [112]
KFC [1]
Kid Galaxy [1]
Kid Works [2]
Kid's Goods [1]
Kidco [1]
Kidrobot [10]
Kids Logic [1]
KidsBiz [1]
King of Sports [1]
Kiscom [1]
Kitchen Sink Press [1]
Kmart [1]
Knickerbocker [15]
Knuckleheadz Toys [1]
Kohner [2]
Kolbe Film School [1]
Konami [1]
Kotobukiya [11]
Kraft [2]
Kre-O [2]
Krystal [1]
Laika [1]
Lakeshore [1]
Lakeside Toys [13]
Lanard Toys [43]
Lansay [1]
Larami [7]
LarGo [3]
Laser Colour [1]
Leadworks [1]
Learning Curve [1]
Lego [38]
Lewco [1]
Lexony [1]
Liang Liang Toys [1]
Lincoln International [1]
Lincoln Toys [1]
Link Innovations [1]
Lionsgate [1]
Litardi [1]
Little Tikes [1]
Living Toys [2]
LJN [29]
Locker Toys [1]
LocoApe [2]
Lone Coconut [1]
Lontic [1]
LooseCollector Collectibles [1]
Loot Company [1]
Loyal Subjects [29]
LucasArts [1]
Lucky Bell [3]
M&C Toy Centre [1]
Madame Alexander [1]
Madison [4]
Maestro Union [1]
Magic [1]
Magic Time [3]
Magnetix [1]
Majestic Studios [9]
Maketoys [8]
Manley Toy Quest [1]
Mannix [9]
Marchon [6]
Marty Toy [7]
Marvel Toys [2]
Marx [22]
Matchbox [21]
Mattel [256]
Max Factory [2]
Maxwell [1]
MC Toy [1]
McCoy [1]
McDonald's [14]
McFarlane [135]
MCT [2]
Medicom [26]
Meg [1]
Mega Bloks [19]
Mega Brands [4]
Megahouse [1]
Mego [48]
Mego 2018 [9]
Mel Appel [11]
Memory Lane [5]
Metz [1]
Mezco [60]
MFC [1]
MGA Entertainment [7]
MGM [1]
Michelin [1]
Micki [1]
Midge Toy [1]
Midwood Brands [2]
Mighty Fine [1]
Mighty Jaxx [1]
Milo's Workshop [4]
Milton Bradley [4]
Mindstyle [1]
Mirage [2]
Moby Dick [1]
Moby Dick Toys [1]
Mondo [10]
Monogram International [1]
Monstarz [1]
Montgomery Ward [1]
Moore [12]
Moose Toys [8]
Mort Alexander [1]
Mountains China Co [1]
MTC [2]
Multi-Toys [4]
Multiple International [1]
N2 Toys [9]
Nacelle Company [6]
Nasta [2]
Nathan's Hot Dogs [1]
NBC Experience [1]
NBC/Universal [1]
Neca [243]
NeMA Studios [5]
New Adventures [2]
New Belgium [1]
New Ventures [2]
New-Ray [1]
Nikko [1]
Nintendo [2]
NJ Croce [24]
No Limit Toys [1]
Noble Toys [10]
NovelToy [1]
Novelty Products [1]
NSI International [1]
Numskull [2]
Nylint [1]
Nylint Toys [1]
O.D.M. [1]
Obvious Plant [1]
Ocean Desert [1]
Odyssey Toys [1]
Ohio Art [1]
Olmec Toys [7]
Omega 7 [1]
Omni Cosmetics [1]
one2believe [1]
Ooze-It [1]
Orb Toys [1]
Original San Francisco Toymakers [5]
Orli Jouet [1]
Out of Character [1]
Outer Space Men [1]
Over Re-Action Figures [1]
Pac Toys [1]
Pace Toys [1]
Pacific Playthings [1]
Paco [6]
Palisades [23]
Palitoy [3]
Panda Mony Toys [1]
Panosh Place [6]
Panville [1]
Parker Brothers [3]
Party Animal [1]
Pattiz [1]
PCS Collectibles [2]
Pepperwood [1]
Peyo [1]
PhatMojo [7]
Phoenix Toys [1]
Pillsbury [1]
Pineapple [1]
Pizza Hut [2]
Placo Toys [4]
Plan-B Toys [6]
Planet Replicas [1]
Planet Toys [1]
Plastirama [1]
Plastoy [1]
Plasty Airfix [2]
Play Along [15]
Play Arts [10]
Play Arts Kai [19]
Play Em Toys [1]
Play Makers [1]
Play Power [1]
Play With Me [1]
Playing Mantis [5]
Playmakers [1]
Playmates [84]
Playmobil [5]
PlayMonster [2]
Playskool [17]
Playtime [2]
PMI Trading [1]
PMS [2]
PNC [1]
Polyfect [9]
Pop Culture Shock Collectibles [3]
PopCo Entertainment [4]
Poptoys [1]
Popy [1]
Porta Play [1]
Powco International [1]
PPW Toys [1]
Premium DNA [4]
Prexio [2]
Prextex [1]
Prime Time Toys [1]
Pro Sports Marketing [1]
Processed Plastic [1]
Product Enterprise [1]
Product People [1]
Progressive [1]
Promotional Factory [1]
Promotions Factory [1]
Protecto [1]
ProWrestlingTees [1]
Quantum Mechanix [1]
R.S. Toys [1]
Rabbit Toys [1]
Racing Champions [1]
Radio Shack [1]
Radioactive-Clown [1]
Rainbow Toys [1]
Rainfall Toys [2]
Ralson [1]
Ramen Toy [2]
Re:Play! [4]
Real Heroes [1]
Reds [1]
Regal Toy [1]
Remco [40]
Rendition [7]
ReSaurus [11]
Revell [2]
Rhip Toyz [1]
Ro-El [2]
Rocket USA [1]
Ronin Syndicate [1]
Roselly [1]
Rosko [1]
Rothco [1]
Round 2 [1]
Royal Bobbles [1]
Royal Co [1]
RPG [1]
RT Toys [1]
S&T Sales [1]
Sababa Toys [3]
Safari Ltd [1]
"Sam, Inc. [1]"
Sanrio [1]
Schaper [4]
Schleich [4]
Jumeau
Bru
Simon & Halbig
Kämmer & Reinhardt
Kestner
François Gaultier (F.G.)
Steiner
Gebrüder Heubach
Armand Marseille
Ernst Heubach
Kestner & Co.
SFBJ
"Alt, Beck & Gottschalck"
Cuno & Otto Dressel
Frank Schmidt
Schoenau & Hoffmeister
"Hertel, Schwab & Co."
Madame Rohmer
Maison Huret
Limoges
A. Thuillier
Rabery & Delphieu
Schmitt et Fils
Norah Wellings
Chad Valley Co. Ltd.
Dean's Rag Book Co. Ltd.
Käthe Kruse
Martha Jenkins Chase
Lenci
Raggedy Ann/Andy
Izannah F. Walker
Vichy
Blair's Bontems
Leopold Lambert
Roullet & Decamps
Théroude
Papier-Mâché Dolls
Poured Wax Dolls
Wax-Over Composition Dolls
Minerva (Alfred Vischer)
Karl Standfuss (Juno Dolls)
Alfred Heller (Diana Dolls)
Atlas Doll & Toy
Buschow & Beck
Bavaria
Bucherer (Switzerland)
Giebeler-Falk
Plastic Dolls
Wooden Dolls
Steiff
Grödnertal
Madame Alexander
Ideal Toy Company
Effanbee
American Character Doll Co.
Arranbee (R&B) Dolls
Vogue Dolls
Eegee Company
Kenner
Mattel
Hasbro
Tonka
Palitoy
Pedigree Dolls & Toys
Märklin
Sasha Dolls
Marx Toys
Shirley Temple Dolls
Bischoff & Co.
Adelaide Huret
Moritz Gottschalk
R. John Wright Dolls
Nomura (TN)
Masudaya (Modern Toys)
Yonezawa Toys
Bandai
Horikawa (Metal House)
Cragstan
Tomy
TOMY (Takara Tomy)
Marusan
Shinsei
Rico
Gakken
Zircon International
Nintendo
Tandy Corporation
Alps
Penny Toys (Germany)
Gama Toys
K&O (K&O Toy Company)
Linemar
Asahi
Tiger Electronics
Shudo
Popy
Daiya
Telsalda (Telsalda Toys)
Schuco
Tudor Rose
Playmates Toys
Meccano Ltd
Buddy L
Tamiya
Toys R Us
Mego Corporation
Remco
Wend-Al (Wend-Alden)
Toybox (Australia)
Eveready (Union Carbide)
Galoob
Dinky Toys
Tootsietoy
Corgi Toys
Hafner Mfg Co.
Bing
Britains Ltd.
Mettoy
Arnold
Technofix
Midgetoy
Joustra
Tri-ang
Nomura
Chad Valley
Marklin
Penny Toys
Crescent Toys
Gokin
Brimtoy
Moko Toys
Morestone
ASC (Asahi Sonorama)
Kyoei Shoji
Kawada
Diapet
Tomiyama
Suzuki (San)
Yatming
Zylmex
Lone Star Toys
Matchbox (Lesney Products)
Hausser Elastolin
Louis Marx and Company
Bing Werke
Bliss Manufacturing Company
Strauss Toys
Kingsbury Manufacturing
Ferdinand Strauss
American Flyer
Carette
Doll et Cie
JEP (Jouet de Paris)
Rock and Graner
Nürnberger Spielwarenfabrik (Nuremberg Toy Company)
Saul D. Harrison
Tomy (pre-1950s)
Wells-Brimtoy
Shackman
Schylling
Distler
Lehmann
Höfler
J. Chein & Co.
Toy Works
Kenton Hardware Company
Chein Industries
Plank
Hausser
G&J Lines (later Tri-ang)
Bärbel Doll Factory
Topps
Fleer
Donruss
Upper Deck
Panini
Score
Bowman
O-Pee-Chee
Leaf
Pacific Trading Cards
SkyBox International
Wizards of the Coast
Konami
Impel Marketing
Inkworks
Rittenhouse Archives
Artbox Entertainment
Cryptozoic Entertainment
Comic Images
Decipher Inc.
FPG (Friedman Publishing Group)
Pinnacle Brands
SAGE Collectibles
In the Game (ITG)
TriStar Productions
Press Pass Inc.
Classic Games
Score Board Inc.
Star Co.
Breygent Marketing
Dart Flipcards
Merlin Publishing
Marvel Entertainment
Cardz
"Heroes, Inc."
Upper Deck Entertainment
4Kids Entertainment
Fantasy Flight Games
Multi-Ad Services
Perna Studios
Tenacious Games
Penny Arcade
Saban Entertainment
Score Entertainment
Jasco Games
Top Cow Productions
Panini America
Krome Studios
Jakks Pacific
Geek Inked Mag
Sirius Entertainment
Dynamic Forces
Majestic Entertainment
All Sports Promotions
Pro Set
Playoff Corporation
Fleer/SkyBox International
Fleer Ultra
Razor Entertainment
DLP
"SportsTime, Inc."
Panini Group
WizKids
"The Score Board, Inc."
"TSR, Inc."
Metagames
Epoch Co.
HeroDecks
Game Time
WildStorm Productions
Liberty Mint
Pressman Toy Corporation
Barclay Entertainment
Cardz Distribution
Five Star Grading
Redemption Card Company
Privateer Press
The Game Crafter
Sentai Filmworks
Pediment Publishing
Kaboom Comics
Collectors Den
Black Dragon Press
Artix Entertainment
Double Take
Panini Digital
Ace Authentic
Compete Products
McFarlane Toys
Meadow Gold Dairies
Star Company
SLAM Cards
Touchstone Pictures
Barlowe's Guide
Mayfair Games
Dynamic Marketing
The Upper Deck Company
Merlin Collections
Wildstorm
Eagle-Griffin Games
"Decipher, Inc."
Topps Comics
Upper Deck Authenticated
Playing Mantis
Fleer Flair
IDW Publishing
Atomic Monster
Goodwin Champions
Panini Stickers
Capcom Cards
Activision Cards
Cabbage Patch Kids Trading Cards
Garbage Pail Kids Trading Cards
Pogs
Image Comics
Dark Horse Comics
Archie Comics
Dynamite Entertainment
BOOM! Studios
Valiant Comics
Valiant Entertainment
Valiant
Valiant Enterprises
Vertigo (imprint of DC Comics)
WildStorm (imprint of DC Comics)
Milestone Media
Epic Comics (imprint of Marvel Comics)
Icon Comics (imprint of Marvel Comics)
Atlas Comics
Charlton Comics
Gold Key Comics
Dell Comics
Eclipse Comics
First Comics
Comico
Pacific Comics
Quality Comics
Kitchen Sink Press
AC Comics
Malibu Comics
CrossGen
AWA Studios (Artists Writers & Artisans)
Oni Press
Drawn & Quarterly
Fantagraphics Books
Top Shelf Productions
Slave Labor Graphics
Avatar Press
America’s Best Comics (imprint of WildStorm/DC Comics)
Dark Circle Comics (imprint of Archie Comics)
AfterShock Comics
Titan Comics
Antarctic Press
AWA Studios
Humanoids Publishing
Vanguard Productions
Abstract Studios
Caliber Comics
Zenescope Entertainment
Aspen MLT
Bluewater Productions
Moonstone Books
Red 5 Comics
Dabel Brothers Publishing
Heroic Publishing
Monkeybrain Comics
Amalgam Comics (collaboration between Marvel Comics and DC Comics)
"AWA Studios (Artists, Writers & Artisans)"
Bongo Comics
Epic Comics
Gemstone Publishing
MAD Magazine (DC Comics imprint)
Lion Forge Comics
KaBOOM! (imprint of BOOM! Studios)
Papercutz
Archie Horror (imprint of Archie Comics)
Black Mask Studios
Humanoids
Aircel Comics
Eros Comix (imprint of Fantagraphics)
Kodansha Comics
Tokyopop
Delcourt
Glénat
Soleil Productions
Les Humanoïdes Associés
Boom Town (imprint of BOOM! Studios)
Bad Idea Comics
Insight Comics
Z2 Comics
Archie Action (imprint of Archie Comics)
Dover Publications
Nobrow Press
Europe Comics
Black Dog Publishing
Hero Initiative
Dabel Brothers
Ahoy Comics
Star Comics (imprint of Marvel Comics)
DC Ink (imprint of DC Comics)
DC Zoom (imprint of DC Comics)
Graphitti Designs
Majorette
Tomica (Tomy)
Siku
Johnny Lightning
Maisto
Ertl
Norev
Bburago
Solido
Autoart
Welly
Greenlight Collectibles
Jada Toys
Polistil
Mebetoys
Crown Premiums
IXO Models
Road Signature
First Gear
Kyosho
Sun Star
Universal Hobbies
Franklin Mint
Danbury Mint
Revell
Biante
Onyx
Minichamps (Paul's Model Art)
Spark Models
Dinky (Meccano)
Atlas Editions
Brooklin Models
Oxford Diecast
Trofeu
Best Model
Altaya
Vitesse
CMC Models
Cararama (Hongwell)
New Ray
Motormax
Jouef
Tekno (Denmark)
Lledo
Playart
Racing Champions
Guisval
High Speed (Hong Kong)
Mondo Motors
Hubley
Politoys
Brumm
Gund
Merrythought
Teddy-Hermann
Dean’s Rag Book Company
Boyds Bears
Russ Berrie
Vermont Teddy Bear Company
Build-A-Bear Workshop
Hermann Spielwaren
Ty Inc. (Beanie Babies)
Clemens Spieltiere
Joy Toys
North American Bear Company
Artist Bears by Deb Canham
Charlie Bears
"Care Bears (Originally by Kenner, later by Play Along, American Greetings)"
Muffy VanderBear (North American Bear Company)
Jellycat
Aurora World
Keel Toys
Farnell
Ganz
Dakin
Bearington Collection
Little Jellycat
Hansa Toys
Petite Amélie
Royal Selangor
Silver Tag Bears
Stieff South Africa (Affiliated with Steiff Germany)
Nici
Gunthermann 
Deans Bears
Knickerbocker Toy Co.
Folkmanis
Douglas Cuddle Toys
Faithful Friends Collectables
Hamleys
Toy Biz
Vivid Imagination
Unmark
